Total runs since 260408: 264

date   time      val_f1   val_R test_f1  test_R   abn_R   nor_R   FP   FN  ep  run
260412 221726    0.9993  0.9993  0.9960  0.9960  0.9933  0.9987    1    5  13  fresh0412_v11_lr5e5_n2800_s42_F0.9960_R0.9960
260412 224043    0.9993  0.9993  0.9947  0.9947  0.9920  0.9973    2    6  14  fresh0412_v11_lr5e5_n2800_s1_F0.9947_R0.9947
260412 230450    0.9993  0.9993  0.9947  0.9947  0.9947  0.9947    4    4   7  fresh0412_v11_lr5e5_n2800_s2_F0.9947_R0.9947
260412 232311    0.9993  0.9993  0.9953  0.9953  0.9973  0.9933    5    2  15  fresh0412_v11_lr1e4_n2800_s42_F0.9953_R0.9953
260412 234832    0.9993  0.9987  0.9833  0.9833  0.9680  0.9987    1   24  14  fresh0412_v11_lr1e4_n2800_s1_F0.9833_R0.9833
260413 001304    1.0000  1.0000  0.9913  0.9913  0.9840  0.9987    1   12  14  fresh0412_v11_lr1e4_n2800_s2_F0.9913_R0.9913
260413 003802    1.0000  1.0000  0.9907  0.9907  0.9827  0.9987    1   13  12  fresh0412_v11_lrwarm3_n2800_s42_F0.9907_R0.9907
260413 005941    0.9993  0.9993  0.9847  0.9847  0.9707  0.9987    1   22   9  fresh0412_v11_lrwarm3_n2800_s1_F0.9847_R0.9847
260413 011855    1.0000  1.0000  0.9927  0.9927  0.9920  0.9933    5    6  10  fresh0412_v11_lrwarm3_n2800_s2_F0.9927_R0.9927
260413 013808    1.0000  1.0000  0.9947  0.9947  0.9933  0.9960    3    5  17  fresh0412_v11_lrwarm8_n2800_s42_F0.9947_R0.9947
260413 020445    0.9993  0.9993  0.9833  0.9833  0.9667  1.0000    0   25  11  fresh0412_v11_lrwarm8_n2800_s1_F0.9833_R0.9833
260413 022539    0.9993  0.9993  0.9913  0.9913  0.9867  0.9960    3   10  13  fresh0412_v11_lrwarm8_n2800_s2_F0.9913_R0.9913
260413 024900    1.0000  1.0000  0.9920  0.9920  0.9867  0.9973    2   10  13  fresh0412_v11_gc05_n2800_s42_F0.9920_R0.9920
260413 031219    1.0000  1.0000  0.9887  0.9887  0.9773  1.0000    0   17  17  fresh0412_v11_gc05_n2800_s1_F0.9887_R0.9887
260413 033834    0.9993  0.9993  0.9880  0.9880  0.9933  0.9827   13    5   8  fresh0412_v11_gc05_n2800_s2_F0.9880_R0.9880
260413 035722    1.0000  1.0000  0.9873  0.9873  0.9760  0.9987    1   18  14  fresh0412_v11_gc20_n2800_s42_F0.9873_R0.9873
260413 042154    1.0000  1.0000  0.9860  0.9860  0.9733  0.9987    1   20  10  fresh0412_v11_gc20_n2800_s1_F0.9860_R0.9860
260413 044042    1.0000  1.0000  0.9867  0.9867  0.9747  0.9987    1   19  12  fresh0412_v11_gc20_n2800_s2_F0.9867_R0.9867
260413 050222    1.0000  0.9987  0.9847  0.9847  0.9720  0.9973    2   21   8  fresh0412_v11_gc50_n2800_s42_F0.9847_R0.9847
260413 052205    0.9993  0.9993  0.9887  0.9887  0.9800  0.9973    2   15  13  fresh0412_v11_gc50_n2800_s1_F0.9887_R0.9887
260413 054757    1.0000  1.0000  0.9900  0.9900  0.9880  0.9920    6    9  11  fresh0412_v11_gc50_n2800_s2_F0.9900_R0.9900
260413 060946    0.9993  0.9993  0.9913  0.9913  0.9907  0.9920    6    7  13  fresh0412_v11_sw1raw_n2800_s42_F0.9913_R0.9913
260413 072755    0.9967  0.9987  0.9960  0.9960  1.0000  0.9920    6    0   7  fresh0413_reset_v11_n700_s42_F0.9960_R0.9960
260413 074103    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3  10  fresh0413_reset_v11_n700_s1_F0.9967_R0.9967
260413 075531    0.9993  0.9993  0.9960  0.9960  1.0000  0.9920    6    0  14  fresh0413_reset_v11_n700_s2_F0.9960_R0.9960
260413 081307    0.9993  0.9993  0.9993  0.9993  1.0000  0.9987    1    0  14  fresh0413_reset_v11_n700_s3_F0.9993_R0.9993
260413 083109    1.0000  1.0000  0.9967  0.9967  0.9960  0.9973    2    3  14  fresh0413_reset_v11_n700_s4_F0.9967_R0.9967
260413 084913    1.0000  1.0000  0.9960  0.9960  0.9933  0.9987    1    5   7  fresh0413_reset_v11_n1400_s42_F0.9960_R0.9960
260413 090440    1.0000  1.0000  0.9913  0.9913  0.9840  0.9987    1   12  11  fresh0413_reset_v11_n1400_s1_F0.9913_R0.9913
260413 145248    1.0000  1.0000  0.9973  0.9973  0.9960  0.9987    1    3  11  fresh0413_reset_v11_n1400_s2_F0.9973_R0.9973
260413 150621    1.0000  1.0000  0.9953  0.9953  0.9947  0.9960    3    4  15  fresh0413_reset_v11_n1400_s3_F0.9953_R0.9953
260413 152240    1.0000  1.0000  0.9953  0.9953  0.9920  0.9987    1    6  10  fresh0413_reset_v11_n1400_s4_F0.9953_R0.9953
260413 153514    1.0000  1.0000  0.9893  0.9893  0.9800  0.9987    1   15   7  fresh0413_reset_v11_n2100_s42_F0.9893_R0.9893
260413 194409    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2  10  fresh0413_reset_v11_n2100_s1_F0.9973_R0.9973
260413 195706    1.0000  1.0000  0.9947  0.9947  0.9907  0.9987    1    7  11  fresh0413_reset_v11_n2100_s2_F0.9947_R0.9947
260413 201125    1.0000  1.0000  0.9973  0.9973  0.9960  0.9987    1    3  13  fresh0413_reset_v11_n2100_s3_F0.9973_R0.9973
260413 202703    1.0000  1.0000  0.9940  0.9940  0.9893  0.9987    1    8   8  fresh0413_reset_v11_n2100_s4_F0.9940_R0.9940
260413 204000    1.0000  1.0000  0.9933  0.9933  0.9880  0.9987    1    9   9  fresh0413_reset_v11_n2800_s42_F0.9933_R0.9933
260413 205437    0.9927  1.0000  0.9760  0.9760  0.9520  1.0000    0   36   7  fresh0413_reset_v11_n2800_s1_F0.9760_R0.9760
260413 210837    1.0000  1.0000  0.9980  0.9980  0.9973  0.9987    1    2  11  fresh0413_reset_v11_n2800_s2_F0.9980_R0.9980
260413 212424    1.0000  1.0000  0.9953  0.9953  0.9920  0.9987    1    6  13  fresh0413_reset_v11_n2800_s3_F0.9953_R0.9953
260413 214247    1.0000  1.0000  0.9960  0.9960  0.9947  0.9973    2    4  11  fresh0413_reset_v11_n2800_s4_F0.9960_R0.9960
260413 215821    1.0000  1.0000  0.9933  0.9933  0.9880  0.9987    1    9  13  fresh0413_reset_v11_n3500_s42_F0.9933_R0.9933
260413 221811    1.0000  1.0000  0.9973  0.9973  0.9960  0.9987    1    3  11  fresh0413_reset_v11_n3500_s1_F0.9973_R0.9973
260413 223511    1.0000  0.9993  0.9987  0.9987  0.9987  0.9987    1    1  10  fresh0413_reset_v11_n3500_s2_F0.9987_R0.9987
260413 225110    1.0000  1.0000  0.9960  0.9960  0.9947  0.9973    2    4   9  fresh0413_reset_v11_n3500_s3_F0.9960_R0.9960
260413 230653    1.0000  1.0000  0.9973  0.9973  0.9960  0.9987    1    3   9  fresh0413_reset_v11_n3500_s4_F0.9973_R0.9973
260414 041327    0.9987  0.9987  0.9873  0.9873  0.9760  0.9987    1   18   8  fresh0413_reset_v11_lr1e5_n700_s42_F0.9873_R0.9873
260414 042400    1.0000  1.0000  0.9953  0.9953  0.9947  0.9960    3    4  13  fresh0413_reset_v11_lr1e5_n700_s1_F0.9953_R0.9953
260414 043636    1.0000  1.0000  0.9953  0.9953  0.9920  0.9987    1    6  12  fresh0413_reset_v11_lr1e5_n700_s2_F0.9953_R0.9953
260414 044835    0.9993  0.9993  0.9953  0.9953  1.0000  0.9907    7    0   7  fresh0413_reset_v11_lr3e5_n700_s42_F0.9953_R0.9953
260414 045842    0.9993  0.9993  0.9980  0.9980  1.0000  0.9960    3    0  11  fresh0413_reset_v11_lr3e5_n700_s1_F0.9980_R0.9980
260414 051005    0.9947  0.9980  0.9913  0.9913  0.9867  0.9960    3   10   7  fresh0413_reset_v11_lr3e5_n700_s2_F0.9913_R0.9913
260414 052016    0.9987  0.9987  0.9953  0.9953  1.0000  0.9907    7    0   7  fresh0413_reset_v11_lr5e5_n700_s42_F0.9953_R0.9953
260414 053026    0.9987  0.9987  0.9987  0.9987  1.0000  0.9973    2    0  12  fresh0413_reset_v11_lr5e5_n700_s1_F0.9987_R0.9987
260414 054243    0.9987  0.9987  0.9927  0.9927  0.9867  0.9987    1   10   7  fresh0413_reset_v11_lr5e5_n700_s2_F0.9927_R0.9927
260414 055250    1.0000  1.0000  0.9953  0.9953  0.9920  0.9987    1    6   9  fresh0413_reset_v11_lr1e4_n700_s42_F0.9953_R0.9953
260414 060315    1.0000  1.0000  0.9947  0.9947  0.9907  0.9987    1    7   7  fresh0413_reset_v11_lr1e4_n700_s1_F0.9947_R0.9947
