name,mtime,mode,epoch,val_f1,test_f1,test_acc,abn_R,nor_R,lr_bb,lr_head,epochs,batch_size,focal_gamma,abnormal_weight,dropout,label_smoothing,use_mixup,normal_ratio,ema_decay,smooth_window,min_epochs
v6_base,2026-04-07T06:55:18.632041,binary,6,1.0,0.9805,0.9889,0.9866666666666667,1.0,0.0001,0.001,50,32,,,,,False,,,,
v6_multi,2026-04-07T07:35:21.965124,multiclass,20,0.9944,0.9822,0.9822,,1.0,0.0001,0.001,50,32,,,,,False,,,,
v8_base,2026-04-07T08:30:18.033716,binary,4,0.9879,0.9899,0.9944,0.9986666666666667,0.9733333333333334,0.0001,0.001,50,32,,,,,False,,,,
v8_g15,2026-04-07T08:50:26.109628,binary,3,1.0,0.9747,0.9856,0.984,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
v8_g25,2026-04-07T09:00:00.595777,binary,4,1.0,0.9584,0.9756,0.9706666666666667,1.0,0.0001,0.001,50,32,,,,,False,,,,
v8_g30,2026-04-07T09:08:13.117711,binary,2,1.0,0.9749,0.9856,0.9826666666666667,1.0,0.0001,0.001,50,32,,,,,False,,,,
v8_init,2026-04-07T09:31:26.057242,binary,2,0.9987,0.9907,0.9907,0.988,0.9933333333333333,0.0001,0.001,50,32,,,,,False,,,,
v8_init_n2,2026-04-07T09:42:30.230693,binary,5,0.9973,0.9907,0.9907,0.9866666666666667,0.9946666666666667,0.0001,0.001,50,32,,,,,False,,,,
v8_init_n3,2026-04-07T09:53:09.594378,binary,3,0.996,0.9927,0.9927,0.9933333333333333,0.992,0.0001,0.001,50,32,,,,,False,,,,
v8_init_n4,2026-04-07T10:05:10.854951,binary,3,0.9967,0.994,0.994,0.992,0.996,0.0001,0.001,50,32,,,,,False,,,,
v8_init_n5,2026-04-07T10:20:12.023594,binary,5,0.9987,0.99,0.99,0.984,0.996,0.0001,0.001,50,32,,,,,False,,,,
v8seed_n1400_s1,2026-04-07T16:34:55.841956,binary,16,0.9993,0.9953,0.9953,0.9906666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n1400_s2,2026-04-07T17:26:55.174873,binary,20,0.9987,0.9987,0.9987,0.9986666666666667,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n1400_s3,2026-04-07T17:55:49.140964,binary,14,0.9987,1.0,1.0,1.0,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n1400_s4,2026-04-07T18:39:02.873231,binary,15,1.0,0.9987,0.9987,0.9986666666666667,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n1400_s42,2026-04-07T17:24:34.788531,binary,19,0.9993,0.9987,0.9987,0.9973333333333333,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2100_s1,2026-04-07T21:14:18.139697,binary,20,0.9987,0.9973,0.9973,0.9946666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2100_s2,2026-04-07T21:51:38.968712,binary,20,1.0,1.0,1.0,1.0,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2100_s3,2026-04-07T22:12:15.214718,binary,20,0.9987,0.9993,0.9993,0.9986666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2100_s4,2026-04-07T22:27:24.759240,binary,16,0.9993,0.9987,0.9987,1.0,0.9973333333333333,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2100_s42,2026-04-07T21:24:18.485753,binary,10,1.0,0.9987,0.9987,0.9973333333333333,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2800_s1,2026-04-07T22:44:34.198567,binary,13,1.0,0.9993,0.9993,0.9986666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2800_s2,2026-04-07T23:27:23.938653,binary,14,0.9993,1.0,1.0,1.0,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2800_s3,2026-04-07T23:54:21.222480,binary,20,0.9993,0.998,0.998,0.996,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2800_s4,2026-04-08T00:16:38.806026,binary,20,0.9993,0.9993,0.9993,0.9986666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n2800_s42,2026-04-07T23:12:31.135341,binary,20,1.0,0.9993,0.9993,1.0,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n3500_s1,2026-04-08T00:40:42.409203,binary,20,0.9987,0.9973,0.9973,0.9946666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n3500_s2,2026-04-08T01:23:56.757326,binary,17,1.0,0.998,0.998,0.9973333333333333,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n3500_s3,2026-04-08T01:50:13.312169,binary,20,0.9993,0.9947,0.9947,0.9906666666666667,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n3500_s4,2026-04-08T02:07:10.518958,binary,15,1.0,0.9993,0.9993,1.0,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n3500_s42,2026-04-08T01:04:45.950976,binary,20,0.9987,0.9987,0.9987,0.9973333333333333,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n700_s1,2026-04-07T19:47:11.348468,binary,16,0.9993,0.9993,0.9993,0.9986666666666667,1.0,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n700_s2,2026-04-07T20:20:54.359905,binary,20,0.998,0.9987,0.9987,1.0,0.9973333333333333,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n700_s3,2026-04-07T20:37:01.778769,binary,20,1.0,0.9993,0.9993,1.0,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n700_s4,2026-04-07T20:53:42.603489,binary,20,0.9993,0.998,0.998,0.9973333333333333,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v8seed_n700_s42,2026-04-07T19:59:31.157328,binary,12,1.0,0.9987,0.9987,0.9986666666666667,0.9986666666666667,5e-05,0.0005,20,32,,,,,False,,,,
v9_avg5_n700_s1,2026-04-08T11:06:26.587134,binary,avg_last_5,0.9993,0.998,0.998,1.0,0.996,5e-05,0.0005,20,32,,,,,False,,,,
v9_aw15_n2800_s42,2026-04-09T02:19:44.065482,binary,7,0.9987,0.992,0.992,0.984,1.0,2e-05,0.0002,20,32,0.0,,0.0,,False,,,3,1
v9_aw1_n700_s42,2026-04-08T20:37:47.032151,binary,20,0.9993,0.9927,0.9927,0.988,0.9973333333333333,5e-05,0.0005,20,32,0.0,,0.0,,False,,,3,10
